firstFitMalloc 1000 0,012230 958
firstFitMalloc 1100 0,014419 1077
firstFitMalloc 1200 0,016291 1165
firstFitMalloc 1300 0,015960 1289
firstFitMalloc 1400 0,023237 1373
firstFitMalloc 1500 0,022467 1488
firstFitMalloc 1600 0,027750 1580
firstFitMalloc 1700 0,029181 1683
firstFitMalloc 1800 0,026336 1790
firstFitMalloc 1900 0,038358 1888
firstFitMalloc 2000 0,042212 1988
firstFitMalloc 2100 0,035643 2089
firstFitMalloc 2200 0,046294 2178
firstFitMalloc 2300 0,049855 2274
firstFitMalloc 2400 0,045360 2357
firstFitMalloc 2500 0,045381 2497
firstFitMalloc 2600 0,065831 2560
firstFitMalloc 2700 0,052203 2686
firstFitMalloc 2800 0,079724 2775
firstFitMalloc 2900 0,085316 2880
firstFitMalloc 3000 0,072756 2973
bestFitMalloc 1000 0,011994 989
bestFitMalloc 1100 0,014152 1083
bestFitMalloc 1200 0,016423 1183
bestFitMalloc 1300 0,019876 1285
bestFitMalloc 1400 0,020479 1387
bestFitMalloc 1500 0,024546 1481
bestFitMalloc 1600 0,025385 1554
bestFitMalloc 1700 0,026489 1687
bestFitMalloc 1800 0,029774 1782
bestFitMalloc 1900 0,027939 1885
bestFitMalloc 2000 0,031885 1990
bestFitMalloc 2100 0,043949 2085
bestFitMalloc 2200 0,039919 2193
bestFitMalloc 2300 0,048306 2291
bestFitMalloc 2400 0,042695 2391
bestFitMalloc 2500 0,058373 2485
bestFitMalloc 2600 0,064212 2591
bestFitMalloc 2700 0,075209 2668
bestFitMalloc 2800 0,077555 2787
bestFitMalloc 2900 0,072184 2875
bestFitMalloc 3000 0,083205 2992
worstFitMalloc 1000 0,012528 966
worstFitMalloc 1100 0,011927 1094
worstFitMalloc 1200 0,013886 1190
worstFitMalloc 1300 0,019284 1289
worstFitMalloc 1400 0,018351 1394
worstFitMalloc 1500 0,024269 1479
worstFitMalloc 1600 0,027562 1583
worstFitMalloc 1700 0,023002 1694
worstFitMalloc 1800 0,034222 1771
worstFitMalloc 1900 0,038415 1870
worstFitMalloc 2000 0,045049 1967
worstFitMalloc 2100 0,041483 2091
worstFitMalloc 2200 0,039600 2187
worstFitMalloc 2300 0,047802 2274
worstFitMalloc 2400 0,055151 2386
worstFitMalloc 2500 0,060940 2482
worstFitMalloc 2600 0,059863 2575
worstFitMalloc 2700 0,075052 2682
worstFitMalloc 2800 0,064920 2791
worstFitMalloc 2900 0,080771 2883
worstFitMalloc 3000 0,064774 2991

