firstFitMalloc 1000 0,008899 886
firstFitMalloc 1100 0,011017 1031
firstFitMalloc 1200 0,009065 719
firstFitMalloc 1300 0,012907 1117
firstFitMalloc 1400 0,011508 684
firstFitMalloc 1500 0,012722 800
firstFitMalloc 1600 0,018700 1440
firstFitMalloc 1700 0,018043 1273
firstFitMalloc 1800 0,020426 1332
firstFitMalloc 1900 0,023923 1645
firstFitMalloc 2000 0,025226 1547
firstFitMalloc 2100 0,027319 1666
firstFitMalloc 2200 0,013631 662
firstFitMalloc 2300 0,023748 1087
firstFitMalloc 2400 0,021241 1009
firstFitMalloc 2500 0,031943 1540
firstFitMalloc 2600 0,044757 2144
firstFitMalloc 2700 0,053950 2458
firstFitMalloc 2800 0,047468 2153
firstFitMalloc 2900 0,055224 2266
firstFitMalloc 3000 0,037991 1292
bestFitMalloc 1000 0,008170 609
bestFitMalloc 1100 0,007997 484
bestFitMalloc 1200 0,009126 619
bestFitMalloc 1300 0,014734 907
bestFitMalloc 1400 0,015432 934
bestFitMalloc 1500 0,018149 989
bestFitMalloc 1600 0,018639 875
bestFitMalloc 1700 0,017284 880
bestFitMalloc 1800 0,020219 833
bestFitMalloc 1900 0,024185 956
bestFitMalloc 2000 0,029916 1825
bestFitMalloc 2100 0,020020 744
bestFitMalloc 2200 0,033480 1277
bestFitMalloc 2300 0,028864 910
bestFitMalloc 2400 0,034895 1996
bestFitMalloc 2500 0,038810 1271
bestFitMalloc 2600 0,048806 2199
bestFitMalloc 2700 0,051671 2096
bestFitMalloc 2800 0,040412 1075
bestFitMalloc 2900 0,051408 1667
bestFitMalloc 3000 0,045722 1289
worstFitMalloc 1000 0,007679 648
worstFitMalloc 1100 0,006844 560
worstFitMalloc 1200 0,007907 605
worstFitMalloc 1300 0,007435 517
worstFitMalloc 1400 0,010562 749
worstFitMalloc 1500 0,019121 1429
worstFitMalloc 1600 0,019361 1209
worstFitMalloc 1700 0,019019 1235
worstFitMalloc 1800 0,017323 947
worstFitMalloc 1900 0,021008 1272
worstFitMalloc 2000 0,019842 1123
worstFitMalloc 2100 0,033970 2038
worstFitMalloc 2200 0,031284 1832
worstFitMalloc 2300 0,025197 1393
worstFitMalloc 2400 0,029878 1680
worstFitMalloc 2500 0,027447 1160
worstFitMalloc 2600 0,031177 1565
worstFitMalloc 2700 0,047418 2436
worstFitMalloc 2800 0,025677 1125
worstFitMalloc 2900 0,043852 1838
worstFitMalloc 3000 0,055533 2738
